#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,MAX,SD,>2,>1
1,1,2,2,1,1,2,3,0,0,0,0,0,0,3,0.997248963,1,4
1,1,1,1,1,3,2,2,1,0,0,0,0,0,3,0.916874768,1,3
2,1,2,1,1,1,1,2,1,1,0,0,0,0,2,0.730045912,0,3
1,1,2,1,1,1,1,1,1,1,1,1,0,0,2,0.474631147,0,1
1,1,1,2,1,1,2,2,2,0,0,0,0,0,2,0.82874193,0,4
2,1,1,1,1,1,4,1,1,0,0,0,0,0,4,1.071611706,1,2
1,1,3,2,2,2,1,1,0,0,0,0,0,0,3,0.997248963,1,4
2,1,1,1,2,5,1,0,0,0,0,0,0,0,5,1.384768001,1,3
4,1,1,3,1,1,2,0,0,0,0,0,0,0,4,1.268814451,2,3
1,2,1,1,1,1,1,3,2,0,0,0,0,0,3,0.916874768,1,3
1,1,1,3,1,1,1,1,2,1,0,0,0,0,3,0.82874193,1,2
3,1,1,1,2,1,1,3,0,0,0,0,0,0,3,1.071611706,2,3
1,2,1,1,1,2,3,2,0,0,0,0,0,0,3,0.997248963,1,4
1,2,2,2,2,2,1,1,0,0,0,0,0,0,2,0.916874768,0,5
2,1,1,1,2,2,2,2,0,0,0,0,0,0,2,0.916874768,0,5
2,1,2,2,1,2,3,0,0,0,0,0,0,0,3,1.071611706,1,5
2,1,1,2,1,1,1,2,2,0,0,0,0,0,2,0.82874193,0,4
2,1,2,1,2,1,1,1,1,1,0,0,0,0,2,0.730045912,0,3
2,1,1,3,1,1,2,1,1,0,0,0,0,0,3,0.916874768,1,3
2,1,1,2,1,1,1,1,3,0,0,0,0,0,3,0.916874768,1,3
1,2,1,1,1,2,1,3,1,0,0,0,0,0,3,0.916874768,1,3
3,2,3,1,3,1,0,0,0,0,0,0,0,0,3,1.268814451,3,4
1,1,1,2,1,2,1,3,1,0,0,0,0,0,3,0.916874768,1,3
2,2,4,1,1,2,1,0,0,0,0,0,0,0,4,1.206666464,1,4
2,1,1,1,1,3,1,1,1,1,0,0,0,0,3,0.82874193,1,2
1,1,1,1,1,2,1,2,1,1,1,0,0,0,2,0.615727926,0,2
1,2,1,1,3,1,2,1,1,0,0,0,0,0,3,0.916874768,1,3
2,3,2,1,1,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
2,1,3,1,1,1,2,2,0,0,0,0,0,0,3,0.997248963,1,4
1,2,1,3,2,1,1,1,1,0,0,0,0,0,3,0.916874768,1,3
3,1,3,1,1,1,1,1,1,0,0,0,0,0,3,0.997248963,2,2
2,1,2,2,1,1,2,1,1,0,0,0,0,0,2,0.82874193,0,4
1,1,2,1,1,2,1,2,2,0,0,0,0,0,2,0.82874193,0,4
2,2,1,1,1,2,1,2,1,0,0,0,0,0,2,0.82874193,0,4
1,2,1,2,1,2,4,0,0,0,0,0,0,0,4,1.206666464,1,4
1,2,1,2,1,2,4,0,0,0,0,0,0,0,4,1.206666464,1,4
